rank,row,col,bf16_source,python_faithful,arle_cuda,cuda_vs_python_abs,cuda_vs_python_rel
88,7,1373,-0.003875732421875,-0.00434908177703619,0.004364013671875,0.00871309544891119,2.0034332275390625
89,3,737,-0.017578125,-0.01617981679737568,0.0162353515625,0.03241516649723053,2.003432273864746
90,7,1180,-0.01806640625,-0.01776142418384552,0.017822265625,0.03558368980884552,2.0034255981445312
91,5,3304,-0.000789642333984375,3.4452743420843035e-05,-3.457069396972656e-05,6.90234373905696e-05,2.0034234523773193
92,1,3359,0.007080078125,0.008576607331633568,-0.00860595703125,0.017182564362883568,2.0034220218658447
93,5,1583,0.004364013671875,0.004318717867136002,-0.00433349609375,0.008652213960886002,2.0034217834472656
94,6,2023,-0.00885009765625,-0.008637440390884876,0.0086669921875,0.0173044316470623,2.0034213066101074
95,4,2943,-0.0091552734375,-0.008698325604200363,0.00872802734375,0.017426352947950363,2.0034146308898926
96,3,758,-0.0031280517578125,-0.001961690839380026,0.0019683837890625,0.003930074628442526,2.0034117698669434
97,7,1761,-0.010498046875,-0.008759181946516037,0.0087890625,0.017548244446516037,2.003411293029785
98,7,1293,-0.0084228515625,-0.008941666223108768,0.00897216796875,0.017913833260536194,2.003411054611206
99,1,1250,-0.0157470703125,-0.017640026286244392,0.0177001953125,0.03534021973609924,2.003410816192627
100,6,2743,0.0003337860107421875,-0.0005170358344912529,0.000518798828125,0.001035834662616253,2.0034098625183105
101,4,2630,-0.0185546875,-0.016545148566365242,0.0166015625,0.03314670920372009,2.0034096240997314
102,1,3389,-0.00347900390625,-0.004197122994810343,0.00421142578125,0.008408548310399055,2.0034077167510986
103,3,3666,0.0019989013671875,0.0005322442157194018,-0.0005340576171875,0.0010663018329069018,2.0034070014953613
104,0,3297,0.002532958984375,0.003953831270337105,-0.00396728515625,0.007921116426587105,2.0034027099609375
105,7,1660,-0.00018215179443359375,-0.001011272775940597,0.00101470947265625,0.002025982365012169,2.0033984184265137
106,7,594,0.0186767578125,0.017762072384357452,-0.017822265625,0.03558433800935745,2.0033888816833496
107,3,1557,-0.0031890869140625,-0.003984313923865557,0.003997802734375,0.00798211619257927,2.003385305404663
108,5,3728,0.0089111328125,0.008090312592685223,-0.00811767578125,0.016207989305257797,2.003382444381714
109,0,2325,0.0032958984375,0.004227649420499802,-0.004241943359375,0.008469592779874802,2.0033810138702393
110,3,1665,0.00689697265625,0.008516143076121807,-0.008544921875,0.01706106588244438,2.0033793449401855
111,7,3086,-0.0181884765625,-0.0176406167447567,0.0177001953125,0.0353408120572567,2.0033774375915527
112,6,3487,-0.0167236328125,-0.016545742750167847,0.0166015625,0.03314730525016785,2.003373622894287
113,0,1249,-0.0027313232421875,-0.004258099943399429,0.0042724609375,0.00853056088089943,2.0033726692199707
114,2,448,0.0013427734375,0.0002604286710266024,-0.0002613067626953125,0.0005217354046180844,2.0033717155456543
115,7,3610,-0.01708984375,-0.01727575808763504,0.017333984375,0.03460974246263504,2.0033702850341797
116,0,110,-0.00579833984375,-0.008029595948755741,0.008056640625,0.016086235642433167,2.0033679008483887
117,3,237,0.00933837890625,0.008698739111423492,-0.00872802734375,0.017426766455173492,2.0033669471740723
118,1,2561,0.01055908203125,0.00894208624958992,-0.00897216796875,0.01791425421833992,2.003364086151123
119,4,3226,0.0087890625,0.008272960782051086,-0.00830078125,0.016573742032051086,2.0033628940582275
120,1,2086,0.00885009765625,0.007847148925065994,-0.00787353515625,0.015720684081315994,2.0033624172210693
121,6,3071,0.0152587890625,0.016059307381510735,-0.01611328125,0.032172590494155884,2.0033609867095947
122,7,2064,0.0167236328125,0.015694361180067062,-0.0157470703125,0.03144143149256706,2.0033583641052246
123,6,2865,0.0169677734375,0.016424329951405525,-0.0164794921875,0.032903820276260376,2.0033583641052246
124,0,2667,0.002105712890625,0.000555081875063479,-0.00055694580078125,0.001112027675844729,2.0033578872680664
125,3,2395,-0.0108642578125,-0.009063834324479103,0.00909423828125,0.018158072605729103,2.00335431098938
126,6,4068,-0.0093994140625,-0.008455529808998108,0.00848388671875,0.016939416527748108,2.0033535957336426
127,5,1499,-0.00860595703125,-0.008881362155079842,0.0089111328125,0.01779249496757984,2.003351926803589
