timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/22 11:29:37.855, 13319 MiB, 2625 MiB, 21 %
2026/05/22 11:29:38.855, 13319 MiB, 2625 MiB, 0 %
2026/05/22 11:29:39.856, 13319 MiB, 2625 MiB, 0 %
2026/05/22 11:29:40.856, 12807 MiB, 3137 MiB, 7 %
2026/05/22 11:29:41.856, 13031 MiB, 2913 MiB, 16 %
2026/05/22 11:29:42.856, 13255 MiB, 2689 MiB, 10 %
2026/05/22 11:29:43.856, 13447 MiB, 2497 MiB, 7 %
2026/05/22 11:29:44.857, 13447 MiB, 2497 MiB, 1 %
2026/05/22 11:29:45.857, 13447 MiB, 2497 MiB, 1 %
2026/05/22 11:29:46.857, 12743 MiB, 3201 MiB, 32 %
2026/05/22 11:29:47.857, 12967 MiB, 2977 MiB, 25 %
2026/05/22 11:29:48.857, 13127 MiB, 2817 MiB, 100 %
2026/05/22 11:29:49.858, 13255 MiB, 2689 MiB, 0 %
2026/05/22 11:29:50.858, 13255 MiB, 2689 MiB, 1 %
2026/05/22 11:29:51.858, 12743 MiB, 3201 MiB, 9 %
2026/05/22 11:29:52.858, 12967 MiB, 2977 MiB, 8 %
2026/05/22 11:29:53.859, 13191 MiB, 2753 MiB, 10 %
2026/05/22 11:29:54.859, 13383 MiB, 2561 MiB, 0 %
2026/05/22 11:29:55.859, 13383 MiB, 2561 MiB, 0 %
2026/05/22 11:29:56.859, 12647 MiB, 3297 MiB, 1 %
2026/05/22 11:29:57.859, 12839 MiB, 3105 MiB, 16 %
2026/05/22 11:29:58.860, 13031 MiB, 2913 MiB, 28 %
2026/05/22 11:29:59.860, 13255 MiB, 2689 MiB, 25 %
2026/05/22 11:30:00.860, 13415 MiB, 2529 MiB, 2 %
2026/05/22 11:30:01.860, 13415 MiB, 2529 MiB, 0 %
2026/05/22 11:30:02.860, 13415 MiB, 2529 MiB, 0 %
2026/05/22 11:30:03.861, 12679 MiB, 3265 MiB, 8 %
2026/05/22 11:30:04.861, 12935 MiB, 3009 MiB, 12 %
2026/05/22 11:30:05.861, 13223 MiB, 2721 MiB, 10 %
2026/05/22 11:30:06.861, 13415 MiB, 2529 MiB, 2 %
2026/05/22 11:30:07.861, 13415 MiB, 2529 MiB, 0 %
2026/05/22 11:30:08.862, 13415 MiB, 2529 MiB, 0 %
2026/05/22 11:30:09.862, 12775 MiB, 3169 MiB, 9 %
2026/05/22 11:30:10.862, 12999 MiB, 2945 MiB, 8 %
2026/05/22 11:30:11.862, 13191 MiB, 2753 MiB, 100 %
2026/05/22 11:30:12.862, 13351 MiB, 2593 MiB, 0 %
2026/05/22 11:30:13.863, 13351 MiB, 2593 MiB, 1 %
2026/05/22 11:30:14.863, 12711 MiB, 3233 MiB, 1 %
2026/05/22 11:30:15.863, 12903 MiB, 3041 MiB, 31 %
2026/05/22 11:30:16.863, 13063 MiB, 2881 MiB, 25 %
2026/05/22 11:30:17.863, 13319 MiB, 2625 MiB, 17 %
2026/05/22 11:30:18.864, 13319 MiB, 2625 MiB, 0 %
2026/05/22 11:30:19.864, 13319 MiB, 2625 MiB, 0 %
2026/05/22 11:30:20.864, 12775 MiB, 3169 MiB, 14 %
2026/05/22 11:30:21.864, 13031 MiB, 2913 MiB, 14 %
2026/05/22 11:30:22.864, 13127 MiB, 2817 MiB, 0 %
2026/05/22 11:30:23.865, 13127 MiB, 2817 MiB, 1 %
2026/05/22 11:30:24.865, 12743 MiB, 3201 MiB, 8 %
2026/05/22 11:30:25.865, 12999 MiB, 2945 MiB, 14 %
2026/05/22 11:30:26.865, 13255 MiB, 2689 MiB, 17 %
2026/05/22 11:30:27.865, 13415 MiB, 2529 MiB, 0 %
2026/05/22 11:30:28.866, 13415 MiB, 2529 MiB, 0 %
2026/05/22 11:30:29.866, 12647 MiB, 3297 MiB, 0 %
2026/05/22 11:30:30.866, 12839 MiB, 3105 MiB, 11 %
2026/05/22 11:30:31.866, 13095 MiB, 2849 MiB, 8 %
2026/05/22 11:30:32.866, 13351 MiB, 2593 MiB, 85 %
2026/05/22 11:30:33.867, 13351 MiB, 2593 MiB, 0 %
2026/05/22 11:30:34.867, 13351 MiB, 2593 MiB, 0 %
2026/05/22 11:30:35.867, 12743 MiB, 3201 MiB, 13 %
2026/05/22 11:30:36.867, 12967 MiB, 2977 MiB, 12 %
2026/05/22 11:30:37.867, 13159 MiB, 2785 MiB, 100 %
2026/05/22 11:30:38.868, 13319 MiB, 2625 MiB, 1 %
2026/05/22 11:30:39.868, 13319 MiB, 2625 MiB, 0 %
2026/05/22 11:30:40.868, 12775 MiB, 3169 MiB, 12 %
2026/05/22 11:30:41.868, 12967 MiB, 2977 MiB, 9 %
2026/05/22 11:30:42.868, 13223 MiB, 2721 MiB, 90 %
2026/05/22 11:30:43.869, 13223 MiB, 2721 MiB, 0 %
2026/05/22 11:30:44.869, 13223 MiB, 2721 MiB, 0 %
2026/05/22 11:30:45.869, 12775 MiB, 3169 MiB, 10 %
2026/05/22 11:30:46.869, 13031 MiB, 2913 MiB, 8 %
2026/05/22 11:30:47.869, 13223 MiB, 2721 MiB, 93 %
2026/05/22 11:30:48.870, 13415 MiB, 2529 MiB, 0 %
2026/05/22 11:30:49.870, 13415 MiB, 2529 MiB, 0 %
2026/05/22 11:30:50.870, 12647 MiB, 3297 MiB, 1 %
2026/05/22 11:30:51.870, 12807 MiB, 3137 MiB, 19 %
2026/05/22 11:30:52.870, 12999 MiB, 2945 MiB, 47 %
2026/05/22 11:30:53.871, 13127 MiB, 2817 MiB, 100 %
2026/05/22 11:30:54.871, 13255 MiB, 2689 MiB, 0 %
2026/05/22 11:30:55.871, 13255 MiB, 2689 MiB, 0 %
2026/05/22 11:30:56.871, 12775 MiB, 3169 MiB, 16 %
2026/05/22 11:30:57.871, 12903 MiB, 3041 MiB, 29 %
2026/05/22 11:30:58.872, 13127 MiB, 2817 MiB, 23 %
2026/05/22 11:30:59.872, 13223 MiB, 2721 MiB, 100 %
2026/05/22 11:31:00.872, 13415 MiB, 2529 MiB, 1 %
2026/05/22 11:31:01.872, 13415 MiB, 2529 MiB, 1 %
2026/05/22 11:31:02.873, 12679 MiB, 3265 MiB, 20 %
2026/05/22 11:31:03.873, 12903 MiB, 3041 MiB, 9 %
2026/05/22 11:31:04.873, 13191 MiB, 2753 MiB, 10 %
2026/05/22 11:31:05.873, 13319 MiB, 2625 MiB, 1 %
2026/05/22 11:31:06.873, 13319 MiB, 2625 MiB, 0 %
2026/05/22 11:31:07.874, 12679 MiB, 3265 MiB, 0 %
2026/05/22 11:31:08.874, 12871 MiB, 3073 MiB, 11 %
2026/05/22 11:31:09.874, 13127 MiB, 2817 MiB, 8 %
2026/05/22 11:31:10.874, 13255 MiB, 2689 MiB, 100 %
2026/05/22 11:31:11.874, 13447 MiB, 2497 MiB, 1 %
